LodgingRevenue,OtherRevenue,BookingsCheckedIn,PersonsNights,RoomNights,DaysSinceLastStay,req_room
238.75,167.0,1,10,5,1088,0
73.0,7.0,1,1,1,1084,0
44.0,8.0,1,1,1,1084,0
79.0,3.5,1,2,1,1084,0
137.4,42.0,1,6,3,1086,0
224.0,155.0,1,5,5,1088,0
432.4,275.8,1,12,6,1089,1
188.64,85.5,1,8,4,1087,0
335.0,75.0,3,4,4,551,0
174.0,144.0,1,9,3,1086,0
207.0,21.0,1,1,1,1084,0
204.0,42.0,1,6,3,1085,0
58.0,7.0,1,1,1,1083,0
392.7,120.0,1,12,4,1086,0
73.0,16.0,1,1,1,1083,0
230.0,146.6,1,10,5,1086,0
134.0,28.0,1,4,2,1083,0
1479.45,576.0,1,14,7,1088,1
65.7,11.0,1,1,1,1082,0
65.7,13.0,1,2,1,1082,0
59.0,7.0,1,1,1,1082,0
59.0,9.0,1,1,1,1082,0
59.0,9.0,1,1,1,1082,0
59.0,9.0,1,1,1,1082,0
64.0,3.5,1,1,1,1082,0
52.0,17.0,1,2,1,1082,0
60.8,14.0,1,2,1,1082,0
116.0,30.0,1,6,3,1084,0
168.0,85.0,1,6,3,1083,0
232.0,54.0,1,2,2,1082,0
116.0,32.0,1,2,2,1082,0
65.6,15.0,1,3,1,1080,0
184.0,56.0,1,8,4,1083,0
92.0,2.0,1,2,1,1080,0
110.44,51.5,1,4,2,1081,1
124.2,40.0,1,2,2,1081,0
138.0,60.0,1,6,3,1082,0
228.6,71.0,1,6,3,1082,0
56.0,14.0,1,2,1,1080,0
114.0,55.5,1,6,3,1082,1
114.0,77.0,1,6,3,1082,1
114.0,54.0,1,6,3,1082,1
114.0,61.0,1,6,3,1082,1
114.0,54.0,1,6,3,1082,1
132.0,29.0,1,3,3,1082,1
114.0,60.0,1,6,3,1082,1
114.0,54.0,1,6,3,1082,1
114.0,57.0,1,6,3,1082,1
114.0,54.0,1,6,3,1082,1
342.0,126.0,1,6,3,1082,1
114.0,54.0,1,6,3,1082,1
114.0,68.5,1,6,3,1082,1
114.0,54.0,1,6,3,1082,1
114.0,54.0,1,6,3,1082,0
83.0,40.0,1,2,1,1080,0
115.5,6.0,1,4,2,1080,1
184.0,139.0,1,8,4,1082,0
116.0,72.5,1,6,3,1081,0
138.0,42.0,1,6,3,1081,0
138.0,122.5,1,6,3,1081,0
184.0,61.0,1,8,4,1082,0
66.0,28.0,2,4,2,991,1
78.0,48.3,1,2,1,1079,0
314.0,97.0,1,8,4,1081,0
138.0,42.0,1,6,3,1080,0
355.0,81.0,7,12,11,785,1
112.0,70.0,1,3,3,1080,0
116.0,107.2,1,2,2,1078,0
116.0,93.0,1,2,2,1078,0
190.0,247.8,1,8,4,1080,0
146.0,19.0,1,2,2,1078,0
1123.0,425.5,11,11,11,404,0
253.2,151.5,1,10,5,1081,0
