LodgingRevenue,OtherRevenue,BookingsCheckedIn,PersonsNights,RoomNights,DaysSinceLastStay,req_room,Cluster
58.0,2.0,1,2,1,972,0,Budget Guests
58.0,2.0,1,2,1,972,0,Budget Guests
438.45,121.0,1,8,4,975,0,Budget Guests
642.0,70.0,1,10,5,976,0,Budget Guests
385.2,68.5,1,6,3,974,1,Group Travelers
369.0,42.0,1,6,3,974,0,Budget Guests
482.4,121.5,1,8,4,975,0,Budget Guests
730.0,62.0,1,5,5,976,1,Group Travelers
258.0,71.5,1,4,2,973,1,Group Travelers
256.8,146.5,1,4,2,973,1,Group Travelers
417.0,136.0,1,10,5,976,1,Group Travelers
510.0,69.0,1,4,4,975,1,Group Travelers
484.3,68.0,1,4,4,975,0,Budget Guests
192.0,42.0,1,6,3,974,0,Budget Guests
333.0,28.0,1,4,4,974,1,Group Travelers
256.0,56.0,1,8,4,974,0,Budget Guests
529.8,105.0,1,12,4,974,0,Budget Guests
256.0,60.0,1,8,4,974,0,Budget Guests
189.0,105.5,1,4,2,972,1,Group Travelers
834.0,275.0,1,12,6,976,1,Group Travelers
246.03,27.0,1,3,3,973,1,Group Travelers
669.6,6.0,1,2,2,972,1,Group Travelers
348.3,62.0,1,6,3,973,1,Group Travelers
377.97,63.0,1,9,3,973,1,Group Travelers
289.71,42.0,1,6,3,973,1,Group Travelers
228.03,42.0,1,6,3,973,0,Budget Guests
279.9,50.0,1,6,3,973,1,Group Travelers
491.0,60.0,6,7,6,91,1,Premium Guests
344.7,42.0,1,6,3,973,0,Budget Guests
192.0,42.0,1,6,3,973,0,Budget Guests
431.4,56.0,1,8,4,974,1,Group Travelers
743.75,273.0,1,15,5,975,0,Budget Guests
216.75,40.0,1,6,3,973,0,Budget Guests
539.25,202.62,1,10,5,975,1,Group Travelers
73.0,18.0,1,2,1,971,0,Budget Guests
73.0,30.5,1,2,1,971,0,Budget Guests
283.5,16.0,1,6,3,973,1,Group Travelers
1827.39,120.0,1,10,5,975,1,Group Travelers
624.13,25.0,1,10,5,975,1,Group Travelers
204.12,126.0,1,9,3,973,0,Budget Guests
437.25,72.5,1,10,5,975,1,Group Travelers
387.0,101.0,1,6,3,973,1,Group Travelers
1034.1,138.5,1,6,3,973,1,Group Travelers
344.7,47.0,1,6,3,973,1,Group Travelers
320.0,282.0,1,10,5,975,0,Budget Guests
539.25,91.5,1,10,5,975,1,Group Travelers
128.4,62.0,1,2,1,971,1,Group Travelers
354.0,44.5,1,6,3,973,0,Budget Guests
436.5,58.0,1,10,5,975,0,Budget Guests
141.3,57.0,1,3,1,971,0,Budget Guests
349.8,93.5,1,8,4,974,1,Group Travelers
487.8,84.5,1,8,4,974,1,Group Travelers
312.3,42.0,1,6,3,973,0,Budget Guests
144.0,68.12,1,2,1,971,1,Group Travelers
354.0,51.0,1,6,3,973,0,Budget Guests
309.0,56.0,1,8,4,974,0,Budget Guests
578.0,335.0,1,16,8,978,0,Budget Guests
354.0,42.0,1,6,3,973,0,Budget Guests
342.0,123.8,1,3,3,973,0,Budget Guests
247.5,94.0,1,6,3,973,1,Group Travelers
354.0,42.0,1,6,3,973,0,Budget Guests
578.0,132.0,1,16,8,978,0,Budget Guests
342.0,23.5,1,3,3,973,0,Budget Guests
260.1,23.5,1,3,3,973,0,Budget Guests
464.4,133.0,1,8,4,974,1,Group Travelers
294.63,44.5,1,6,3,973,0,Budget Guests
354.0,45.0,1,6,3,973,0,Budget Guests
354.0,45.0,1,6,3,973,0,Budget Guests
354.0,52.5,1,6,3,973,0,Budget Guests
186.6,28.0,1,4,2,972,1,Group Travelers
454.0,42.0,2,6,6,715,0,Budget Guests
